domain,category,size_tier,date,metric,value
wendys.com,fast_food,large,2025-09-01,keywords_count,288908.0
wendys.com,fast_food,large,2025-10-01,keywords_count,273297.0
wendys.com,fast_food,large,2025-11-01,keywords_count,273444.0
wendys.com,fast_food,large,2025-12-01,keywords_count,287870.0
wendys.com,fast_food,large,2026-01-01,keywords_count,299878.0
wendys.com,fast_food,large,2026-02-01,keywords_count,298105.0
coca-cola.com,beverages,large,2023-01-01,traffic_sum,306206.0
coca-cola.com,beverages,large,2023-02-01,traffic_sum,324547.0
coca-cola.com,beverages,large,2023-03-01,traffic_sum,337790.0
coca-cola.com,beverages,large,2023-04-01,traffic_sum,301804.0
coca-cola.com,beverages,large,2023-05-01,traffic_sum,283304.0
coca-cola.com,beverages,large,2023-06-01,traffic_sum,268216.0
coca-cola.com,beverages,large,2023-07-01,traffic_sum,253171.0
coca-cola.com,beverages,large,2023-08-01,traffic_sum,220854.0
coca-cola.com,beverages,large,2023-09-01,traffic_sum,236028.0
coca-cola.com,beverages,large,2023-10-01,traffic_sum,283623.0
coca-cola.com,beverages,large,2023-11-01,traffic_sum,273936.0
coca-cola.com,beverages,large,2023-12-01,traffic_sum,266081.0
coca-cola.com,beverages,large,2024-01-01,traffic_sum,370290.0
coca-cola.com,beverages,large,2024-02-01,traffic_sum,517249.0
coca-cola.com,beverages,large,2024-03-01,traffic_sum,635488.0
coca-cola.com,beverages,large,2024-04-01,traffic_sum,650703.0
coca-cola.com,beverages,large,2024-05-01,traffic_sum,650679.0
coca-cola.com,beverages,large,2024-06-01,traffic_sum,593623.0
coca-cola.com,beverages,large,2024-07-01,traffic_sum,508486.0
coca-cola.com,beverages,large,2024-08-01,traffic_sum,477074.0
coca-cola.com,beverages,large,2024-09-01,traffic_sum,508059.0
coca-cola.com,beverages,large,2024-10-01,traffic_sum,491444.0
coca-cola.com,beverages,large,2024-11-01,traffic_sum,502458.0
coca-cola.com,beverages,large,2024-12-01,traffic_sum,492840.0
coca-cola.com,beverages,large,2025-01-01,traffic_sum,519775.0
coca-cola.com,beverages,large,2025-02-01,traffic_sum,469988.0
coca-cola.com,beverages,large,2025-03-01,traffic_sum,376692.0
coca-cola.com,beverages,large,2025-04-01,traffic_sum,400833.0
coca-cola.com,beverages,large,2025-05-01,traffic_sum,362675.0
coca-cola.com,beverages,large,2025-06-01,traffic_sum,463434.0
coca-cola.com,beverages,large,2025-07-01,traffic_sum,348274.0
coca-cola.com,beverages,large,2025-08-01,traffic_sum,323314.0
coca-cola.com,beverages,large,2025-09-01,traffic_sum,389506.0
coca-cola.com,beverages,large,2025-10-01,traffic_sum,307629.0
coca-cola.com,beverages,large,2025-11-01,traffic_sum,256868.0
coca-cola.com,beverages,large,2025-12-01,traffic_sum,293919.0
coca-cola.com,beverages,large,2026-01-01,traffic_sum,361489.0
coca-cola.com,beverages,large,2026-02-01,traffic_sum,371020.0
drinkolipop.com,beverages,small,2023-01-01,traffic_sum,42820.0
drinkolipop.com,beverages,small,2023-02-01,traffic_sum,68273.0
drinkolipop.com,beverages,small,2023-03-01,traffic_sum,68297.0
drinkolipop.com,beverages,small,2023-04-01,traffic_sum,64751.0
drinkolipop.com,beverages,small,2023-05-01,traffic_sum,64415.0
drinkolipop.com,beverages,small,2023-06-01,traffic_sum,63053.0
drinkolipop.com,beverages,small,2023-07-01,traffic_sum,48174.0
drinkolipop.com,beverages,small,2023-08-01,traffic_sum,42420.0
drinkolipop.com,beverages,small,2023-09-01,traffic_sum,42262.0
drinkolipop.com,beverages,small,2023-10-01,traffic_sum,52572.0
drinkolipop.com,beverages,small,2023-11-01,traffic_sum,64805.0
drinkolipop.com,beverages,small,2023-12-01,traffic_sum,58021.0
drinkolipop.com,beverages,small,2024-01-01,traffic_sum,59308.0
drinkolipop.com,beverages,small,2024-02-01,traffic_sum,82391.0
drinkolipop.com,beverages,small,2024-03-01,traffic_sum,93769.0
drinkolipop.com,beverages,small,2024-04-01,traffic_sum,87984.0
drinkolipop.com,beverages,small,2024-05-01,traffic_sum,96054.0
drinkolipop.com,beverages,small,2024-06-01,traffic_sum,104491.0
drinkolipop.com,beverages,small,2024-07-01,traffic_sum,151914.0
drinkolipop.com,beverages,small,2024-08-01,traffic_sum,147350.0
drinkolipop.com,beverages,small,2024-09-01,traffic_sum,128208.0
drinkolipop.com,beverages,small,2024-10-01,traffic_sum,164630.0
drinkolipop.com,beverages,small,2024-11-01,traffic_sum,197752.0
drinkolipop.com,beverages,small,2024-12-01,traffic_sum,168654.0
drinkolipop.com,beverages,small,2025-01-01,traffic_sum,148256.0
drinkolipop.com,beverages,small,2025-02-01,traffic_sum,149303.0
drinkolipop.com,beverages,small,2025-03-01,traffic_sum,34971.0
drinkolipop.com,beverages,small,2025-04-01,traffic_sum,37407.0
drinkolipop.com,beverages,small,2025-05-01,traffic_sum,8607.0
drinkolipop.com,beverages,small,2025-06-01,traffic_sum,26962.0
drinkolipop.com,beverages,small,2025-07-01,traffic_sum,23898.0
drinkolipop.com,beverages,small,2025-08-01,traffic_sum,31692.0
drinkolipop.com,beverages,small,2025-09-01,traffic_sum,30854.0
drinkolipop.com,beverages,small,2025-10-01,traffic_sum,26291.0
drinkolipop.com,beverages,small,2025-11-01,traffic_sum,24068.0
drinkolipop.com,beverages,small,2025-12-01,traffic_sum,27453.0
drinkolipop.com,beverages,small,2026-01-01,traffic_sum,25507.0
drinkolipop.com,beverages,small,2026-02-01,traffic_sum,25382.0
drpepper.com,beverages,large,2023-01-01,traffic_sum,86909.0
drpepper.com,beverages,large,2023-02-01,traffic_sum,98067.0
drpepper.com,beverages,large,2023-03-01,traffic_sum,109976.0
drpepper.com,beverages,large,2023-04-01,traffic_sum,106601.0
drpepper.com,beverages,large,2023-05-01,traffic_sum,89239.0
drpepper.com,beverages,large,2023-06-01,traffic_sum,83245.0
